Title,Link,"Tag (to add more than one, duplicate the row)",Last updated,Content type,Content sub-type,link_title,link_content_id,link_type,Policies,Collections,Withdrawn,12-month timeline,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,Total unique pageviews,Highest month,Lowest month,Monthly average,Monthly median,Recommendation,Redirect/combine with which content url,Notes,Changes live yet?,Status code,Redirecting
Learning to count: Alexandra Nursery School,https://www.gov.uk/government/publications/learning-to-count-alexandra-nursery-school,,04/02/2013,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,49,53,69,21,56,146,62,42,51,66,75,690,146,21,58,56,current - no work needed,,,,200,
Provision for children under 5 years of age in England: January 2013,https://www.gov.uk/government/statistics/provision-for-children-under-5-years-of-age-in-england-january-2013,,27/06/2013,Publication,National Statistics,,,department-for-education,childcare-and-early-education,/government/collections/statistics-childcare-and-early-years,,,97,144,94,72,94,77,105,73,41,87,84,83,"1,051",144,41,88,86,current - no work needed,,,N/A,200,
Helping families get ready for school at Little Stars Childcare Centre,https://www.gov.uk/government/publications/helping-families-get-ready-for-school-at-little-stars-childcare-centre,,03/04/2014,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,62,55,76,47,66,144,65,39,50,56,29,689,144,29,57,56,current - no work needed,,,,200,
New maths hubs to raise standards,https://www.gov.uk/government/news/new-maths-hubs-to-raise-standards,,04/12/2013,News article,Press release,,,department-for-education,school-and-college-qualifications-and-curriculum,,,,72,92,141,127,142,112,104,64,52,55,109,65,"1,135",142,52,95,98,not relevant to topic - remove from list,,This isn't related to early years. Remove from list.,N/A,200,
Funding for phonics teaching to improve children’s reading,https://www.gov.uk/government/news/funding-for-phonics-teaching-to-improve-childrens-reading,,06/04/2011,News article,Press release,,,department-for-education,school-and-college-qualifications-and-curriculum,,,,92,141,114,92,94,108,38,43,23,50,62,90,947,141,23,79,91,not relevant to topic - remove from list,,This isn't related to early years. Remove from list.,N/A,200,
Unseen children,https://www.gov.uk/government/speeches/unseen-children,,20/06/2013,Speech,Speech,,,ofsted,,,,,,,,,,,,,,,,141,141,141,141,12,141,current - no work needed,,,,200,
Ready for school: Ann Tayler Children's Centre Nursery,https://www.gov.uk/government/publications/ready-for-school-ann-tayler-childrens-centre-nursery,,03/04/2014,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,81,85,123,81,81,139,85,53,103,75,73,979,139,53,82,81,current - no work needed,,,,200,
Sure Start children's centres: logos,https://www.gov.uk/government/publications/sure-start-childrens-centres-logos,,08/08/2014,Publication,Promotional material,,,department-for-education,childcare-and-early-education,,,,138,130,100,124,103,101,116,79,67,61,90,66,"1,175",138,61,98,100,current but needs work - improve now,,Reword to take out the banned word 'deliver'. Also suggets adding a link to the stat guidance on running sure start centres.,Yes,200,
An innovative approach to observing and assessing learning and development,https://www.gov.uk/government/publications/an-innovative-approach-to-observing-and-assessing-learning-and-development,,21/02/2012,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,138,95,80,53,62,135,72,47,81,112,112,987,138,47,82,81,current - no work needed,,,,200,
Education Secretary Michael Gove's speech to Brighton College,https://www.gov.uk/government/speeches/education-secretary-michael-goves-speech-to-brighton-college,,10/05/2012,Speech,Speech,,,department-for-education,"education-of-disadvantaged-children, academies-and-free-schools, school-and-college-qualifications-and-curriculum, further-education-and-training",,,,43,98,70,72,43,47,44,34,24,33,63,138,709,138,24,59,46,current - no work needed,,,N/A,200,
The education of service children and young people (JSP 342),https://www.gov.uk/government/publications/the-education-of-service-children-jsp-342,,27/03/2015,Publication,Guidance,,,ministry-of-defence,,"/government/collections/service-childrens-education, /government/collections/joint-service-publication-jsp",,,22,52,58,135,51,38,42,37,44,38,46,45,608,135,22,51,44,,,,,200,
EYFSP attainment by pupil characteristics: England - 2015,https://www.gov.uk/government/statistics/announcements/eyfsp-attainment-by-pupil-characteristics-england-2015,,,Statistics announcement,National Statistics,,,department-for-education,,,,,10,19,23,13,17,18,20,11,14,39,85,135,404,135,10,34,18,current - no work needed,,,N/A,200,
Listening to children's perspectives: improving the quality of provision in early years settings,https://www.gov.uk/government/publications/listening-to-childrens-perspectives-improving-the-quality-of-provision-in-early-years-settings,,27/09/2012,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,,,,41,134,57,76,63,53,34,21,8,21,51,68,627,134,8,52,52,current - no work needed,,,N/A,200,
How to appeal - guidance for childcare providers,https://www.gov.uk/government/publications/how-to-appeal-guidance-for-those-registered-as-or-applying-to-be-a-childminder-or-a-childcare-provider,,04/12/2014,Publication,Guidance,,,ofsted,,,,,133,64,30,57,40,47,52,50,29,54,53,44,653,133,29,54,51,current - no work needed,,,,200,
Provision for children under five years of age in England: January 2011,https://www.gov.uk/government/statistics/provision-for-children-under-five-years-of-age-in-england-january-2011,,22/06/2011,Publication,National Statistics,,,department-for-education,childcare-and-early-education,/government/collections/statistics-childcare-and-early-years,,,46,89,50,68,81,96,104,46,33,78,133,107,931,133,33,78,80,current - no work needed,,,N/A,200,
Early Years providers and places,https://www.gov.uk/government/statistics/announcements/early-years-providers-and-places--2,,,Statistics announcement,Official Statistics,,,ofsted,,,,,,,,11,21,9,24,133,1,2,1,1,203,133,1,17,9,current - no work needed,,,,200,
£100 million to support the education of children in care,https://www.gov.uk/government/news/100-million-to-support-the-education-of-children-in-care,,01/10/2013,News article,Press release,,,department-for-education,education-of-disadvantaged-children,,,,67,131,77,106,53,84,81,72,25,102,75,78,951,131,25,79,78,not relevant to topic - remove from list,,This isn't related to early years. Remove from list.,N/A,200,
Education Bill receives Royal Assent,https://www.gov.uk/government/news/education-bill-receives-royal-assent,,15/11/2011,News article,Press release,,,department-for-education,"childcare-and-early-education, school-behaviour-and-attendance, academies-and-free-schools",,,,62,128,72,103,77,102,79,22,23,40,70,113,891,128,22,74,74,current - no work needed,,,N/A,200,
Provider influence on the home learning environment,https://www.gov.uk/government/publications/provider-influence-on-the-home-learning-environment,,30/06/2011,Publication,Research and analysis,,,department-for-education,,,,,94,123,107,128,101,85,65,66,66,82,103,108,"1,128",128,65,94,98,duplicate - combine and redirect this item to another item that also belongs to your organisation,"https://www.gov.uk/government/publications/provider-influence-on-the-home-learning-environment-technical-report

https://www.gov.uk/government/publications/provider-influence-on-the-early-home-learning-environment-ehle-executive-summary","The summary and technical report should be added to this page, where the main publication lives. This will help users interested in this research find all the relevant documents easily. ",Yes,200,
We are all learners here: Our Lady Star of the Sea Nursery,https://www.gov.uk/government/publications/we-are-all-learners-here-our-lady-star-of-the-sea-nursery,,03/07/2014,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,22,30,26,24,29,127,77,34,49,50,42,510,127,22,42,34,current - no work needed,,,,200,
Early years trainees: apprenticeship bursary scheme,https://www.gov.uk/guidance/early-years-trainees-apprenticeship-bursary-scheme,,01/09/2014,Detailed guidance,Detailed Guide,,,national-college-for-teaching-and-leadership,,,withdrawn,,,,,,,,,,15,125,65,58,263,125,15,22,62,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),,Already withdrawn,,200,
Review of early education and childcare qualifications: interim report,https://www.gov.uk/government/publications/review-of-early-education-and-childcare-qualifications-interim-report,,13/03/2012,Publication,Independent report,,,department-for-education,childcare-and-early-education,"/government/collections/reform-of-education-and-childcare-from-birth-to-5-years, /government/collections/nutbrown-review",,,125,121,88,117,122,103,60,43,24,41,87,114,"1,045",125,24,87,96,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/nutbrown-review-foundations-for-quality,"It would make sense to have all Nutbrown reports on the same page. I suggest adding the interim report and background document on this page to the page with the final report, so users interested in the subject can find all 3 documents easily. ",Yes,302,https://www.gov.uk/government/publications/nutbrown-review-foundations-for-quality
Childminder agencies and changes to the local authority role,https://www.gov.uk/government/consultations/childminder-agencies-and-changes-to-the-local-authority-role,,18/08/2014,Consultation,Consultation outcome,schools-colleges-childrens-services/early-years,,department-for-education,childcare-and-early-education,,,,82,123,88,108,65,66,67,58,57,63,55,41,873,123,41,73,66,current - no work needed,,,N/A,200,
Voluntary and community organisations awarded £60 million grant,https://www.gov.uk/government/news/voluntary-and-community-organisations-awarded-60-million-grant,,25/02/2011,News article,Press release,,,department-for-education,,,,,96,122,117,114,68,62,68,57,53,62,77,76,972,122,53,81,72,current - no work needed,,,N/A,200,
Government is acting to get children ready for school,https://www.gov.uk/government/news/government-is-acting-to-get-children-ready-for-school,,29/07/2011,News article,News story,,,department-for-education,childcare-and-early-education,,,,57,114,100,86,120,121,91,39,34,49,84,63,958,121,34,80,85,current - no work needed,,Page not found,N/A,200,
Using storyboards and homemade books to promote learning,https://www.gov.uk/government/publications/using-storyboards-and-homemade-books-to-promote-learning,,16/04/2012,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,26,30,25,21,37,120,59,36,54,46,36,490,120,21,41,36,current - no work needed,,,,200,
Sam Gyimah: childcare - our moral mission,https://www.gov.uk/government/speeches/sam-gyimah-childcare-our-moral-mission,,12/11/2014,Speech,Speech,,,department-for-education,childcare-and-early-education,,,,106,120,57,40,26,31,30,32,16,19,18,39,534,120,16,44,32,current - no work needed,,,N/A,200,
Neighbourhood statistics in England: academic year 2012 to 2013,https://www.gov.uk/government/statistics/neighbourhood-statistics-in-england-academic-year-2012-to-2013,,19/06/2014,Publication,National Statistics,,,department-for-education,,/government/collections/statistics-neighbourhood-absence-and-attainment,,,88,98,119,117,111,85,66,16,32,26,28,31,817,119,16,68,76,current - no work needed,,,N/A,200,
Section 251 budget: 2014 to 2015 data,https://www.gov.uk/government/publications/section-251-budget-2014-to-2015-data,,25/09/2014,Publication,Transparency data,,,"department-for-education, education-funding-agency",,/government/collections/section-251-materials,,,95,77,80,118,97,109,106,91,103,111,69,75,"1,131",118,69,94,96,current - no work needed,,,N/A,200,
Ofsted Annual Report 2011/12,https://www.gov.uk/government/publications/the-annual-report-of-her-majestys-chief-inspector-of-education-childrens-services-and-skills-201112,,27/11/2012,Publication,Corporate report,,,ofsted,,/government/collections/ofsted-annual-reports,,,45,115,102,107,98,95,58,40,35,48,73,78,894,115,35,74,76,current - no work needed,,,,200,
Targeted Basic Need Programme: list of projects,https://www.gov.uk/government/publications/targeted-basic-need-programme-list-of-projects,,11/03/2014,Publication,Transparency data,,,education-funding-agency,,,no,,70,115,108,71,58,41,69,72,43,61,36,51,795,115,36,66,65,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),,"This programme has now closed. However, for transparancy users should still be able to view the page, so suggest withdrawing.",,200,
Childminder agency regulation: guidance for agencies and Ofsted staff,https://www.gov.uk/government/publications/childminder-agency-regulation-guidance-for-agencies-and-ofsted-staff,,26/08/2014,Publication,Guidance,,,ofsted,,/government/collections/ofsted-inspections-of-childminder-agencies,,,,,,,,,,,,16,108,113,237,113,16,20,108,current but needs work - improve next version,,,,200,
Children's experiences of the early years foundation stage,https://www.gov.uk/government/publications/childrens-experiences-of-the-early-years-foundation-stage,,23/12/2010,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,,,,95,110,92,96,113,101,39,21,14,39,75,73,868,113,14,72,84,current - no work needed,,,N/A,200,
Working with parents and carers to enhance children's learning,https://www.gov.uk/government/publications/working-with-parents-and-carers-to-enhance-childrens-learning,,07/03/2013,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,34,45,38,38,30,113,66,31,51,52,54,552,113,30,46,45,current - no work needed,,,,200,
Ofsted consults on separate judgements,https://www.gov.uk/government/news/ofsted-consults-on-separate-judgements,,10/07/2014,News article,Press release,,,ofsted,,,,,21,112,41,21,19,23,11,24,11,21,10,18,332,112,10,28,21,current - no work needed,,,,200,
Funded early education choice framework,https://www.gov.uk/government/publications/funded-early-education-choice-framework,,16/05/2013,Publication,Guidance,,,"department-for-education, open-public-services",childcare-and-early-education,/government/collections/open-public-services,,,55,112,87,88,76,80,73,77,77,91,58,88,962,112,55,80,78,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/find-free-early-education,Redirect to citizen-facing page for parents looking for early education in their area.,Yes,302,https://www.gov.uk/find-free-early-education
Inspecting children's centres: additional guidance for inspectors,https://www.gov.uk/government/publications/subsidiary-guidance-supporting-the-inspection-of-childrens-centres,,08/04/2014,Publication,Guidance,,,ofsted,,/government/collections/ofsted-inspections-of-childrens-centres,,,35,88,83,86,69,55,85,62,45,107,40,32,787,107,32,66,66,current but needs work - improve next version,,Will need to make changes when policy situation clarified by DfE.,,#ERROR!,#ERROR!
Transforming the early years workforce,https://www.gov.uk/government/speeches/transforming-the-early-years-workforce,,19/06/2014,Speech,Speech,,,national-college-for-teaching-and-leadership,,,,,63,106,91,84,72,95,61,50,36,55,94,67,874,106,36,73,70,current - no work needed,,,,200,
Baseline design: 210 place primary school with a 26 place nursery,https://www.gov.uk/government/publications/baseline-design-210-place-primary-school-with-a-26-place-nursery,,11/03/2014,Publication,Guidance,,,education-funding-agency,,School building design and maintenance,no,,69,83,106,90,77,38,70,55,75,70,106,60,899,106,38,75,72,current - no work needed,,,,200,
Evaluation of children’s centres in England (ECCE),https://www.gov.uk/government/publications/evaluation-of-childrens-centres-in-england-ecce,,11/06/2014,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,/government/collections/evaluation-of-childrens-centres-in-england-ecce,,,72,85,77,93,104,76,69,69,47,52,75,68,887,104,47,74,74,current - no work needed,,,N/A,200,
Elizabeth Truss speaks about early years teachers,https://www.gov.uk/government/speeches/elizabeth-truss-speaks-about-early-years-teachers,,07/04/2014,Speech,Speech,,,department-for-education,"childcare-and-early-education, teaching-and-school-leadership",,,,83,104,91,93,85,82,59,51,38,51,48,60,845,104,38,70,71,current - no work needed,,,N/A,200,
Developing environments to help communication skills,https://www.gov.uk/government/publications/developing-environments-to-help-communication-skills,,25/11/2011,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,30,30,37,24,48,103,47,37,37,64,51,508,103,24,42,37,current - no work needed,,,,200,
Elizabeth Truss speaks about how schools can support parents,https://www.gov.uk/government/speeches/elizabeth-truss-speaks-about-how-schools-can-support-parents,,17/06/2014,Speech,Speech,,,department-for-education,childcare-and-early-education,,,,63,98,81,103,44,48,39,38,23,29,28,25,619,103,23,52,42,current - no work needed,,,N/A,200,
"Sure Start, childcare and disabled children: capital grants",https://www.gov.uk/government/publications/sure-start-childcare-and-disabled-children-capital-grants,,15/12/2009,Publication,Guidance,,,department-for-education,"childcare-and-early-education, special-educational-needs-and-disability-send",/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,,,47,102,80,76,84,86,70,85,58,90,100,99,977,102,47,81,84,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),,This guide is very old - it seems to relate mostly to funding local authorities received in 2009-2010. I recommend withdrawing this document.,Yes,200,
Education Secretary Michael Gove's speech to ASCL,https://www.gov.uk/government/speeches/education-secretary-michael-goves-speech-to-ascl,,26/03/2012,Speech,Speech,,,department-for-education,"academies-and-free-schools, school-and-college-qualifications-and-curriculum, school-and-college-funding-and-accountability, education-of-disadvantaged-children",,,,101,19,30,33,29,19,9,8,13,13,34,38,346,101,8,29,24,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Sure Start children’s centres statutory guidance,https://www.gov.uk/government/news/sure-start-childrens-centres-statutory-guidance,,17/02/2011,News article,News story,,,department-for-education,childcare-and-early-education,,,,68,90,62,71,68,96,73,35,47,38,47,61,756,96,35,63,65,current - no work needed,,,N/A,200,
Improving from satisfactory: Highters Heath Nursery School,https://www.gov.uk/government/publications/improving-from-satisfactory-highters-heath-nursery-school,,03/07/2014,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,26,54,54,32,33,96,43,21,72,63,89,583,96,21,49,54,current - no work needed,,,,200,
Children in care: research priorities and questions,https://www.gov.uk/government/publications/children-in-care-research-priorities-and-questions,,13/03/2014,Publication,Research and analysis,schools-colleges-childrens-services/looked-after-children,,department-for-education,childcare-and-early-education,/government/collections/research-priorities-for-education-and-childrens-services,,,77,95,76,88,91,64,65,61,50,48,85,72,872,95,48,73,74,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Working with parents and carers to give children the best possible start,https://www.gov.uk/government/publications/working-with-parents-and-carers-to-give-children-the-best-possible-start,,26/03/2012,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,69,66,83,25,54,95,57,39,41,63,55,647,95,25,54,57,current - no work needed,,,,200,
Section 251 budget workbooks: 2014 to 2015,https://www.gov.uk/government/publications/section-251-budget-workbooks-2014-to-2015,,10/10/2014,Publication,Transparency data,,,education-funding-agency,school-and-college-funding-and-accountability,/government/collections/section-251-materials,,,82,59,94,75,49,77,72,51,61,79,45,65,809,94,45,67,68,current - no work needed,,,,200,
"Good early years get children off to a flying start, says Ofsted",https://www.gov.uk/government/news/good-early-years-get-children-off-to-a-flying-start-says-ofsted,,19/04/2013,News article,Press release,,,ofsted,,,,,17,92,45,41,29,25,20,15,16,15,12,15,342,92,12,28,18,current - no work needed,,,,200,
Nick Gibb: the fruits of autonomy,https://www.gov.uk/government/speeches/nick-gibb-the-fruits-of-autonomy,,13/11/2014,Speech,Speech,,,department-for-education,"school-and-college-qualifications-and-curriculum, academies-and-free-schools",,,,92,78,58,30,30,20,48,20,13,20,12,21,442,92,12,37,26,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Two-year-old demonstration project in schools: baseline survey,https://www.gov.uk/government/publications/two-year-old-demonstration-project-in-schools-baseline-survey,,28/04/2014,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,,,,48,91,60,60,30,25,28,26,19,24,11,20,442,91,11,37,27,current - no work needed,,,N/A,200,
Special educational needs reform: draft legislation published,https://www.gov.uk/government/news/special-educational-needs-reform-draft-legislation-published,,03/09/2012,News article,News story,,,department-for-education,special-educational-needs-and-disability-send,,,,34,79,90,65,76,65,44,25,14,30,32,31,585,90,14,49,39,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Supporting children's all-round development in nursery,https://www.gov.uk/government/publications/supporting-childrens-all-round-development-in-nursery,,08/02/2012,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,31,45,41,33,41,90,45,40,49,51,76,542,90,31,45,45,current - no work needed,,,,200,
Baseline design: 240 place primary school with a 26 place nursery,https://www.gov.uk/government/publications/baseline-design-240-place-primary-school-with-a-26-place-nursery,,11/03/2014,Publication,Guidance,,,education-funding-agency,,School building design and maintenance,no,,61,90,74,85,55,49,61,63,60,61,64,46,769,90,46,64,61,current - no work needed,,,,200,
"Early years apprenticeship bursary doubled to £3,000",https://www.gov.uk/government/news/early-years-apprenticeship-bursary-doubled-to-3000,,22/11/2013,News article,Press release,,,department-for-education,"childcare-and-early-education, teaching-and-school-leadership",,,,35,77,54,89,36,44,54,66,49,88,45,36,673,89,35,56,52,current - no work needed,,,N/A,200,
"Supporting hard to reach children, parents and carers",https://www.gov.uk/government/publications/supporting-hard-to-reach-children-parents-and-carers,,07/01/2013,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,19,25,26,24,33,88,44,29,35,41,46,410,88,19,34,33,current - no work needed,,,,200,
Making the most of the local environment to develop pre-school  learning,https://www.gov.uk/government/publications/making-the-most-of-the-local-environment-to-develop-pre-school-learning,,15/06/2012,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,2,3,6,3,18,87,37,23,26,21,23,249,87,2,21,21,current - no work needed,,,,200,
No notice behaviour inspections begin,https://www.gov.uk/government/news/no-notice-behaviour-inspections-begin,,31/01/2014,News article,Press release,,,ofsted,,,,,25,86,43,75,37,45,22,24,8,20,33,45,463,86,8,39,35,current - no work needed,,,,200,
Developing pupils as leaders in primary school,https://www.gov.uk/government/publications/developing-pupils-as-leaders-in-primary-school,,04/03/2011,Publication,Research and analysis,,,ofsted,,"/government/collections/ofsted-examples-of-good-practice-in-citizenship-teaching, /government/collections/ofsted-examples-of-good-practice-in-schools, /government/collections/ofsted-examples-of-good-practice-in-schools",,,,54,53,85,62,73,58,54,44,75,67,70,695,85,44,58,62,current - no work needed,,,,200,
Tackling the root causes of poverty and disadvantage,https://www.gov.uk/government/news/tackling-the-root-causes-of-poverty-and-disadvantage,,21/12/2010,News article,News story,,,department-for-education,education-of-disadvantaged-children,,,,44,84,55,80,62,70,50,31,26,22,60,47,631,84,22,53,52,current - no work needed,,,N/A,200,
Longitudinal study of early years professional status,https://www.gov.uk/government/publications/longitudinal-study-of-early-years-professional-status-an-exploration-of-progress-leadership-and-impact-final-report,,27/09/2012,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,,,,62,78,41,78,75,84,53,37,22,46,81,78,735,84,22,61,68,current - no work needed,,,N/A,200,
A third of children reach expected level in pilot of phonics check,https://www.gov.uk/government/news/a-third-of-children-reach-expected-level-in-pilot-of-phonics-check,,09/12/2011,News article,News story,,,department-for-education,school-and-college-qualifications-and-curriculum,,,,33,83,49,69,30,61,53,46,14,45,34,30,547,83,14,46,46,current - no work needed,,,N/A,200,
More than 100 free schools applications approved,https://www.gov.uk/government/news/more-than-100-free-schools-applications-approved,,22/05/2013,News article,Press release,,,department-for-education,academies-and-free-schools,,,,37,73,35,81,18,26,35,48,51,28,12,10,454,81,10,38,35,current - no work needed,,,N/A,200,
Linger and learn: welcoming and engaging parents and carers,https://www.gov.uk/government/publications/linger-and-learn-welcoming-and-engaging-parents-and-carers,,03/09/2012,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,15,17,9,14,20,81,32,21,34,31,17,291,81,9,24,20,current - no work needed,,,,200,
Targeted Basic Need Programme: fact sheet and further information,https://www.gov.uk/government/publications/targeted-basic-need-programme-fact-sheet-and-further-information,,11/03/2014,Publication,Guidance,,,education-funding-agency,,,no,,68,81,63,53,50,31,44,53,42,44,40,41,610,81,31,51,47,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),,"This programme has now closed. However, for transparancy users should still be able to view the page, so suggest withdrawing.",,200,
Launch of National College for Teaching and Leadership,https://www.gov.uk/government/news/launch-of-national-college-for-teaching-and-leadership,,02/04/2013,News article,Press release,,,department-for-education,teaching-and-school-leadership,,,,28,79,80,79,60,74,50,22,22,31,20,21,566,80,20,47,40,current - no work needed,,,N/A,200,
Early years foundation stage profile results in England: academic year 2010 to 2011,https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-in-england-academic-year-2010-to-2011,,11/11/2011,Publication,National Statistics,,,department-for-education,childcare-and-early-education,/government/collections/statistics-early-years-foundation-stage-profile,,,60,79,66,59,51,48,45,24,31,42,50,51,606,79,24,50,50,current - no work needed,,,N/A,200,
National evaluation of Sure Start local programmes: an economic perspective,https://www.gov.uk/government/publications/national-evaluation-of-sure-start-local-programmes-an-economic-perspective,,28/07/2011,Publication,Research and analysis,,,department-for-education,,,,,59,72,76,65,79,47,25,27,27,25,35,59,596,79,25,50,53,current - no work needed,,,N/A,200,
Better communication research project,https://www.gov.uk/government/publications/better-communication-research-project-language-and-literacy-attainment-of-pupils-during-early-years-and-through-key-stage-2,,24/11/2011,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,/government/collections/better-communication-research-programme,,,52,78,44,49,44,47,24,19,20,26,50,31,484,78,19,40,44,current - no work needed,,,N/A,200,
Creating and sustaining high quality across a nursery chain,https://www.gov.uk/government/publications/creating-and-sustaining-high-quality-across-a-nursery-chain,,15/03/2012,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,7,4,11,6,18,47,15,16,28,24,78,254,78,4,21,16,current - no work needed,,,,200,
Inspecting children's centres: completing an evidence base,https://www.gov.uk/government/publications/requirements-for-completing-a-childrens-centre-inspection-evidence-base-from-april-2013,,16/07/2013,Publication,Guidance,,,ofsted,,/government/collections/ofsted-inspections-of-childrens-centres,,,26,51,64,77,62,55,64,51,49,70,41,20,630,77,20,52,53,current - no work needed,,Will need to make changes when policy situation clarified by DfE.,,200,
Childcare sufficiency and sustainability in disadvantaged areas,https://www.gov.uk/government/publications/childcare-sufficiency-and-sustainability-in-disadvantaged-areas,,20/12/2012,Publication,Research and analysis,schools-colleges-childrens-services/early-years,,department-for-education,,,,,55,76,66,62,71,48,40,31,27,37,33,30,576,76,27,48,44,current - no work needed,,,N/A,200,
Evaluation of the Graduate Leader Fund,https://www.gov.uk/government/publications/evaluation-of-the-graduate-leader-fund-final-report,,28/07/2011,Publication,Research and analysis,,,department-for-education,,,,,50,73,38,64,55,49,39,44,29,21,36,44,542,73,21,45,44,current but needs work - improve now,,The title or summary should explain what the graduate leader fund is. The detail should be much shorter.,Yes,200,
EYFSP attainment by pupil characteristics in England: academic year 2011 to 2012,https://www.gov.uk/government/statistics/eyfsp-attainment-by-pupil-characteristics-in-england-academic-year-2011-to-2012,,21/11/2012,Publication,National Statistics,,,department-for-education,childcare-and-early-education,/government/collections/statistics-early-years-foundation-stage-profile,,,72,61,48,66,47,34,48,26,21,35,24,21,503,72,21,42,41,current - no work needed,,,N/A,200,
Supporting children and families through bereavement,https://www.gov.uk/government/publications/supporting-children-and-families-through-bereavement,,29/01/2013,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,8,4,7,12,18,72,22,13,19,20,11,206,72,4,17,13,current - no work needed,,,,200,
Numbers of Sure Start children's centres: April 2010,https://www.gov.uk/government/statistics/numbers-of-sure-start-childrens-centres-april-2010,,17/06/2010,Publication,Statistics,,,department-for-education,childcare-and-early-education,,,,33,71,48,44,72,65,22,15,15,19,24,45,473,72,15,39,38,current - no work needed,,Officila stats - so must keep.,N/A,200,
Work with parents: National Occupational Standards,https://www.gov.uk/government/publications/work-with-parents-national-occupational-standards,,15/01/2011,Publication,Guidance,,,department-for-education,childcare-and-early-education,,,,38,65,57,71,40,43,39,44,21,28,69,71,586,71,21,49,44,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/government/organisations/department-for-education,"This document does not belong to DfE; it belongs to NOS. We  can't publish it on GOV.UK as if we were in charge of maintaining it. We can't update it nor take responsibility for it, so I suggest taking this down.",Yes,302,https://www.gov.uk/government/organisations/department-for-education
"Early years foundation stage: profile results in England, academic year 2009 to 2010",https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-in-england-academic-year-2009-to-2010,,12/10/2010,Publication,National Statistics,,,department-for-education,childcare-and-early-education,/government/collections/statistics-early-years-foundation-stage-profile,,,44,60,44,70,47,44,51,28,30,36,56,67,577,70,28,48,46,current - no work needed,,,N/A,200,
An outstanding enterprising curriculum for children,https://www.gov.uk/government/publications/an-outstanding-enterprising-curriculum-for-children,,02/07/2013,Publication,Research and analysis,,,ofsted,,"/government/collections/ofsted-examples-of-good-practice-in-economics-business-and-enterprise-teaching, /government/collections/ofsted-examples-of-good-practice-in-schools",,,,41,45,70,47,41,49,41,28,31,38,34,465,70,28,39,41,current - no work needed,,,,200,
How Sunbeam Children’s Centre increased the participation rate of fathers,https://www.gov.uk/government/publications/how-sunbeam-childrens-centre-increased-the-participation-rate-of-fathers,,31/01/2013,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,4,5,6,9,19,70,34,18,15,22,13,215,70,4,18,15,current - no work needed,,,,200,
